subline,link,headline,date,article,summary
"Organized by Red Dot, the Contemporary Good Design Award allows companies and designers to present their products to an internationally renowned and independent jury for assessment. Successful participants are permitted to use the label, which ensures product visibility on the Chinese market and provides guidance for Chinese customers.",https://www.dexigner.com/news/33926,Contemporary Good Design Award 2022,2022-09-23,"Organized by Red Dot, the Contemporary Good Design Award allows companies and designers to present their products to an internationally renowned and independent jury for assessment. Successful participants are permitted to use the label, which ensures product visibility on the Chinese market and provides guidance for Chinese customers.The international jury for the Contemporary Good Design Award comprises twelve internationally respected experts, including journalists, professors and consultants. They assess the entries on the basis of criteria such as level of innovation, functionality, longevity and formal quality.Entry is open to manufacturers and designers from all over the world whose products are made using an industrial manufacturing process. The products must have already been launched on the market, and the market launch must have taken place within the past three years.The deadline for submissions is October 14, 2022.more: cgdaward.com (205)","the Contemporary Good Design Award is organised by Red Dot. The Contemporary Good Design Award allows companies and designers to present their products to an internationally renowned and independent jury for assessment. Successful participants are permitted to use the label, which ensures product visibility on the Chinese market and provides guidance for Chinese customers."
"Pavilion has debuted Palmera, a new collection of outdoor furniture inspired by the contoured embrace of a hammock and the mesmerizing effect of sunlight filtering through palm trees.",https://www.dexigner.com/news/33925,Pavilion Furniture Introduces Palmera Collection,2022-09-22,"Pavilion has debuted Palmera, a new collection of outdoor furniture inspired by the contoured embrace of a hammock and the mesmerizing effect of sunlight filtering through palm trees. Designed by Stark Scott Studio, the collection includes dining, lounge, and rocking chairs and complementary dining and occasional tables.""Our goal was to create a signature collection of outdoor furniture for Pavilion,"" said designer Kevin Stark. ""The unique sense of place created by a hammock-the suspended, kinetic feeling it encourages in its occupant-was our design inspiration,"" added designer Phillip Scott.""We studied the ancient Caribbean craft of making hammocks,"" added designer Lauren Stark. ""The intricate, yet simple construction is akin to how Palmera chairs are made-with 28 contoured rods laid by hand into fixtures, then bonded by 148 resistance welds-marrying handcraft with modern manufacturing processes.""The result is a tranquil escape found in the sculptural, wireframe seat that appears suspended from its continuous-line frame - lending it visual lightness - coupled with a contoured cushion that enhances the leisurely comfort. The seat heights and recline angles ensure an optimal experience for each chair, with the captivating movement of the rocking chair offering particular delight.Gestural lines and tapered legs, reminiscent of palm fronds, are repeated in the complementary tables. The interplay between chairs and tables provides casual comfort and adequate space for each guest. Both seating and tables are scaled to strike a balance between feeling roomy and planning efficiently for contract, hospitality, and residential applications.Designed to perform in demanding environments, including high wind, rooftop, and balcony settings, Palmera brings contract-grade quality with an appealing residential aesthetic to outdoor dining and lounge spaces. Palmera evokes daylight hours spent soaking in the rhythmic nature of the outdoors.Photos: Courtesy of Pavilion","has debuted Palmera, a new collection of outdoor furniture inspired by the contoured embrace of a hammock and the mesmerizing effect of sunlight filtering through palm trees. Designed by Stark Scott Studio, the collection includes dining, lounge, and rocking chairs and complementary dining and occasional tables. Palmera evokes daylight hours spent soaking in the rhythmic nature of the outdoors."
The Planning and Visual Education Partnership (PAVE Global) is seeking nominations for its 15th Annual Rising Star Award. This award recognizes young leaders who have significantly impacted the retail arena throughout these ever-evolving times.,https://www.dexigner.com/news/33924,PAVE Rising Star: Call for Nominations,2022-09-22,"The Planning and Visual Education Partnership (PAVE Global) is seeking nominations for its 15th Annual Rising Star Award. This award recognizes young leaders who have significantly impacted the retail arena throughout these ever-evolving times.""Emerging strong from the global pandemic, retail today reflects the blended channels that comprise a brand,"" said the award's creator Nancy Jackson, Chief Creative Officer, ASI/Architectural Systems, Inc. ""Although the role of a brick-and-mortar location has evolved, it remains worthy of acknowledging and applauding the Rising Star responsible for creating and implementing the store design. Please honor this award by nominating someone deserving!""A Rising Star is a young professional who has exhibited outstanding leadership in the brand environment industry. These emerging leaders anticipate client needs, motivate a team, transform the simple into the extraordinary, and inspire the consumer.This year's Rising Star should also have shown the ability to pivot, stay inspired, and engage others while navigating retail design's current state of flux.Retailers, designers, and industry suppliers are invited to nominate individuals who have shown great leadership and talent in implementing inventive design strategies for their own companies and/or clients within the current, post-pandemic retail space.The deadline for nominations is October 21, 2022.more: paveglobal.org (99)","is seeking nominations for its 15th Annual Rising Star Award. This award recognizes young leaders who have significantly impacted the retail arena. this year's Rising Star should have shown the ability to pivot, stay inspired, and engage others."
"The Butrint National Park Visitor Center International Design Competition is a global search for a dedicated and gifted architectural team to design a new visitor center for Butrint National Park, an exceptional UNESCO World Heritage Site (WHS) on Albania's Ionian coastline.",https://www.dexigner.com/news/33923,Butrint National Park Visitor Center International Design Competition,2022-09-22,"The Butrint National Park Visitor Center International Design Competition is a global search for a dedicated and gifted architectural team to design a new visitor center for Butrint National Park, an exceptional UNESCO World Heritage Site (WHS) on Albania's Ionian coastline.Located in the south of the country, approximately 20 kilometers from the city of Sarandë and overlooking the Straits of Corfu, Butrint is the most significant archaeological site in Albania and its chief cultural attraction.The new center, of up to 1,000 sqm, must receive, welcome and orient visitors, interpret the site, convey the Outstanding Universal Values of the WHS, and be a gateway to the wider National Park and a regional hub for other nearby natural and cultural visitor attractions.Other aspects of the competition include a new or extended ticket office (including staff workspaces and support facilities); improvements to the core heritage area entrance and secure boundary; wayfinding and interpretation; and improved mooring facilities.The competition will also encourage participants to consider further opportunities within the wider park in the form of a landscape visioning masterplan. A proactive and forward-thinking approach to sustainability throughout will be key, to tackle the many challenges of the climate emergency, with rising sea levels being a particular threat to Butrint's low-lying peninsula.The project's initial funding of USD $2.45m has been secured andthe project has a fast-track timetable: the finished building is due to open in September 2025.The deadline for submissions is October 24, 2022.Photo: Albanian-American Development Foundationmore: competitions.malcolmreading.com (57)","The butrint National Park Visitor Center International Design Competition is a global search for a dedicated and gifted architectural team to design a new visitor center for Butrint National Park. The new center, of up to 1,000 sqm, must receive, welcome and orient visitors, interpret the site, convey the Outstanding Universal Values of the WHS.The competition will encourage participants to consider further opportunities within the wider park in the form of a landscape visioning masterplan."
"Fold7 has designed the event identity for NEAR protocol's flagship event NEARCON 2022, which took place in Lisbon, Portugal.",https://www.dexigner.com/news/33922,Fold7 Designs Event Identity for NEARCON 2022,2022-09-21,"Fold7 has designed the event identity for NEAR protocol's flagship event NEARCON 2022, which took place in Lisbon, Portugal.At the heart of NEAR is its climate-neutral, open source protocol, which is a sharded, proof-of-stake, layer-one blockchain. The ecosystem has a vast number of applications, infrastructure and support built by an ever-expanding network of developers, entrepreneurs and creatives. It's supported by the NEAR Foundation which fosters innovation through grant funding.The 3.5-day NEARCON event saw 2000+ delegates from the NEAR and Web3 community travel to Lisbon to learn about the NEAR ecosystem, and the latest Web3 developments and technologies. Talks were led by renowned authors, economists, A-list artists, and politicians.NEAR turned to Fold7 for support as it needed a distinct, cut-through identity to mark the occasion - powered by and with a greater focus on, the NEAR brand. Fold7's design solution was inspired by the multiple themes, ideas, discussions, and launches - all coming together in one place, under one brand and one roof.Placing the brand's iconic 'N' infinity symbol at the center and creating a wider visual language from its strong geometry enabled Fold7 to amplify the master brand's signature moves and emphasize its unique identity. The result was a highly modular system that could expand and contract to any given format and play different roles across the scheme - even becoming directional signage at the event space. A crucial element was the motion graphic component which has multiple intensities and modes, responding to the themes or atmospheres throughout the event.""Event identities are always an opportunity to amplify a brand's core communicative elements, to experiment and explore new vantage points,"" commented Tom Munckton, Head of Design at Fold7. ""With the brilliant NEAR team, we carefully unfolded the most potent visual nuances and shone new light on them. We discovered new possibilities for the brand particularly within motion, on the journey""Photos: Courtesy of Fold7","- the brand's iconic 'N' infinity symbol at the center - enabled Fold7 to amplify the brand's signature moves and emphasize its unique identity. the event identity was designed for NEAR protocol's flagship event NEARCON 2022, which took place in Lisbon, Portugal."
"The Wikimedia Foundation, the nonprofit that supports Wikipedia, has launched 'The Sound of All Human Knowledge,' a global contest to find the first sound logo for Wikipedia and Wikimedia projects in collaboration with Wikimedia volunteers.",https://www.dexigner.com/news/33921,Wikimedia Foundation Launches Global Contest to Find Sound Logo,2022-09-21,"The Wikimedia Foundation, the nonprofit that supports Wikipedia, has launched 'The Sound of All Human Knowledge,' a global contest to find the first sound logo for Wikipedia and Wikimedia projects in collaboration with Wikimedia volunteers.Sound logos, also known as sound trademarks or sonic logos, leverage a short collection of sounds to represent a brand in audiovisual and audio-only settings. Sound logos have gained popularity alongside the rise of audio technology globally, with the number of active voice assistant users growing from 544.1 million users in 2015 to 2.6 billion users in 2021.""As people encounter knowledge from Wikimedia projects in new ways, the Wikimedia brand needs to be present in new formats,"" said Zack McCune, Director of Brand at the Wikimedia Foundation. ""The sound logo contest asks participants to consider, what does free knowledge sound like? We built a contest that aims to answer that question while reflecting the collective wisdom of the crowd ethos of the Wikimedia projects and movement.""Contest submissions will be reviewed by a selection committee of seven Wikimedia volunteer contributors alongside five sound experts and a musicologist assembled by MassiveMusic. The committee will combine their expertise to narrow down submissions to ten sounds that can be easily recalled, adopted across audio settings, and reflect the Wikimedia movement's values. These ten sounds will then be open for voting to select the final winning sound beginning November 29.The deadline for submissions is October 10, 2022.Image: Courtesy of Wikimedia Foundationmore: soundlogo.wikimedia.org (94)",and Wikimedia Foundation has launched 'The Sound of All Human Knowledge' a global contest to find the first sound logo for Wikipedia and Wikimedia projects in collaboration with Wikimedia volunteers. the contest seeks to find the first sound logo for Wikipedia and Wikimedia projects in collaboration with Wikimedia volunteers. ten sounds will then be open for voting to select the final winning sound beginning November 29.
"The deadline for the call Posterheroes: Mindful or Mind Full?, the eleventh edition of the international poster contest, is extended to September 30th, 2022.",https://www.dexigner.com/news/33920,Posterheroes 2022 Deadline Extended,2022-09-16,"The deadline for the call Posterheroes: Mindful or Mind Full?, the eleventh edition of the international poster contest, is extended to September 30th, 2022.This year's call, 'MINDFUL OR MIND FULL?' invites creatives from all over the world to reflect on current and future learning models by highlighting the limits of the current educational paradigm and imagining future scenarios through a poster.Posterheroes aims to involve designers, students, and graphics enthusiasts to share reflections and create an international debate on social and environmental issues through visual communication.An international selection panel will select 40 winning posters that will be the subjects of exhibitions, events, and editorial productions. One project will receive a special mention and a € 2,500 cash prize.more: posterheroes.org (219)","aims to involve designers, students, and graphics enthusiasts to share reflections and create an international debate on social and environmental issues through visual communication.Posterheroes aims to involve designers, students, and graphics enthusiasts to share reflections and create an international debate on social and environmental issues through visual communication."
"The Architecture & Design Film Festival (ADFF), the world's largest festival dedicated to architecture and design, returns this fall.",https://www.dexigner.com/news/33919,Architecture & Design Film Festival 22/23,2022-09-16,"The Architecture & Design Film Festival (ADFF), the world's largest festival dedicated to architecture and design, returns this fall.The 22/23 season will kick off with ADFF:NY (September 28-October 2), followed by ADFF:Toronto (November 2-5), ADFF:Vancouver (November 9-12), ADFF:LA (January 19-22), and ADFF:DC (January 26-29), with other cities to be announced.The Festival will also make a virtual appearance at ADFF:ONLINE (February 8-17).ADFF's 14th edition will showcase a diverse range of films, from over eleven countries, including six U.S premieres and one world premiere. The curated selection of films investigates design's impact on the worlds of fashion, real estate, art, architecture, urban planning, and housing.In each city, the Festival will open with Fashion Reimagined, a documentary following the trajectory of Mother of Pearl designer Amy Powney as she sets out to create an ethical and sustainable collection.Other films in the program lineup include inspiring stories about Danish design pioneer Grethe Meyer, legendary Dutch architect of MVRDV Architects Winy Maas as well as Finnish artist and one of the first designers for Marimekko - Maija Isola.Each film will be introduced by a special guest and followed by insightful Q&As with the filmmakers.more: adfilmfest.com (104)",",,,, will be introduced by a special guest and followed by insightful Q&As with the filmmakers.ADFF's 14th edition will showcase a diverse range of films, from over eleven countries, including six U.S premieres and one world premiere.ADFF's 14th edition will showcase a diverse range of films, from over eleven countries."
Counterfeit Studio has designed Tessuti's newly acquired unique landmark flagship store in the iconic Liverpool ONE.,https://www.dexigner.com/news/33918,Counterfeit Studio Gives Tessuti A Fresh Elevated Look,2022-09-16,"Counterfeit Studio has designed Tessuti's newly acquired unique landmark flagship store in the iconic Liverpool ONE. Tessuti's 37-year history is built on the same passion for sourcing the latest in premium designer brands as its customers. Born out of a desire for self-expression, escapism and aspiration these values are as relevant today as they've always been and formed a crucial insight for Counterfeit Studio as a base for its creative response.""It was clear from the earliest of briefing stages with the client team that any new direction for Tesutti had to resonate deeply with their customer,"" commented Founder of Counterfeit Studio Murray Aitken. ""To do that, we determined that the solution was to create an adaptive store that could easily showcase launches or activations clearly and authoritatively - a flexible, dynamic and digitally enabled platform to showcase new and established brands.""Given Liverpool's unique sense of identity, for this particular site, Counterfeit Studio drew from the city's rich culture to inform a site-specific tonality. Rather than focusing on obvious references, they delved deep into the city's history, turning to an iconic architectural landmark for inspiration: the Liverpool Overhead Railway (LOR). Known locally as the 'Dockers Umbrella,' the now decommissioned LOR had a host of world firsts, mirroring the inception of Tessuti's flagship.The historic structure's archetypal arch profile became the basis of the architectural language for the store and is replicated around the space as a motif. At the shopfront level, three impressive digital arches are used to link the two-story facade, confidently occupying the generous expanse of glazing.Around the central escalator void, a large stainless steel 'lozenge' is punctuated by arches mimicking the scale of engineering that the LOR represents. The lozenge serves as a striking signature for the store whilst visually drawing consumers' gaze up to the jewel in the store's crown, the XL format digital screen in the soffit above a central atrium. Elsewhere the motif acts as wayfinding, signifying key destinations such as fitting rooms or to highlight brands.The 22,000 square feet store is arranged over three levels, two of which are allocated to trading. The ground floor is dedicated to core brand apparel from the likes of Stone Island, Fiorucci, Billionaire Boys Club, Versace, A.P.C, Norse Projects and C.P. Company. Here, six large digital columns are arranged around the central escalator void. These 'heat zones' fuse product display and content to provide canvases for brand activations, whilst drawing the consumers' eye through the store, punctuating the space.A curved stainless cash desk sits to the rear of the ground floor space highlighted by a crisp line of neon light to clearly demark the service zone. The opposite is a large heat zone, a flexible 'staging' to be used for local pop-ups and activations.Men's and Women's fitting rooms are situated on the rear corners of the floor and continue the feel of a premium space, with dedicated VIP rooms for top-tier customers.The upper floor is accessed via twin escalators leading through the central atrium. Here, clearly defined destinations for Footwear and Accessories divide the space. As with the ground floor, there are several 'heat zones' that allow brands' spaces to tell unique stories.This level is also home to a 3rd party Sneakers ER space, where customers can bring their footwear and luxury bags to be rejuvenated and repaired, adding to the elevated quality of the store experience. A gloss black Piaggio APE van, an Italian Design classic, serves as a mobile apothecary and fragrance station adding a change of pace to the customer journey. A large cash desk, 'Click and collect' station and VIP changing rooms continue the theme of refined service.Materials such as Terrazzo, Brass and Marble are used throughout both levels, these classical Italian materials, signifiers of timeless style, are juxtaposed with contemporary interventions, digital moments, brushed stainless surfaces and neon accents. Texture and pattern come from rough Stucco surfaces to offset the clean lines of fixtures and furniture suggesting a uniquely modern and aspirational space.Photography: French+Tye",", the 'Dockers Umbrella', the Liverpool Overhead Railway (LOR) and the XL format digital screen. the lozenge serves as a striking signature for the store while visually drawing consumers' gaze. the lozenge is punctuated by arches mimicking the scale of engineering that the LOR represents."
B-Reel Stockholm has devised a campaign for Storytel to promote the launch of the audiobook streaming service's original remake of George Orwell's 1984.,https://www.dexigner.com/news/33917,2022 Sounds Like 1984 in B-Reel's New Global Campaign for Storytel,2022-09-15,"B-Reel Stockholm has devised a campaign for Storytel to promote the launch of the audiobook streaming service's original remake of George Orwell's 1984. Storytel's audio experience is an immersive re-telling of the classic novel, made for 2022.The exclusive audio experience comes at a time where mass surveillance, alternative facts, cancel culture and media censorship is front-page news. The chilling realization of the similarities between the world in Orwell's dystopian fiction and our current reality is at the core of the creative concept, '2022 sounds like 1984.'""The times we live in feel like they're calling out for the wisdom of Orwell,"" said Zack McDonald, ECD of B-Reel. ""When you open your ears to what's happening in the world, everything begins to add up. 2022 really does sound like 1984, and we hope this campaign gets everyone to seriously listen and reflect.""What's more, beyond the disturbing connections between the book and our reality, the campaign also highlights yet another startling fact, 1+9+8+4=22 ; a thought-provoking equation that became a central part of the campaign. The centerpiece of the 360 campaign is a short film bringing a modern touch to Orwell's classic story - teasing a dystopian vision that comes to life in Storytel's version of 1984.Photo: Courtesy of B-Reel","Storytel's audio experience is an immersive re-telling of the classic novel, made for 2022. the exclusive audio experience comes at a time where mass surveillance, alternative facts, cancel culture and media censorship is front-page news. ""2022 sounds like 1984,"" says Zack McDonald, ECD of B-Reel Stockholm."
"Material Matters 2022 is a new fixture on the London design calendar. Based on the critically acclaimed podcast of the same name, the event will see its inaugural edition take place during this year's London Design Festival, on the capital's Southbank.",https://www.dexigner.com/news/33916,Material Matters 2022,2022-09-15,"Material Matters 2022 is a new fixture on the London design calendar. Based on the critically acclaimed podcast of the same name, the event will see its inaugural edition take place during this year's London Design Festival, on the capital's Southbank.The event, which is part of the Bankside Design District, promises to bring together over 40 world-leading brands, designers, makers and organisations to celebrate the importance of materials and their ability to shape our lives.The fair will take place across five floors of the iconic Bargehouse at Oxo Tower Wharf, an unadorned but magnificent former factory setting, and feature a wide range of exhibits: from an exhibition celebrating an upcoming monograph on the experience-driven strategic design agency LAYER, to a site-specific installation from leading gallery Ruup & Form, featuring work from textile artist Beatrice Mayfield and other multidisciplinary artists, via displays by innovators and experimentalists whose practice is at the cutting edge of materials, and products from a collection of leading brands.The show will be teeming with designers, makers and manufacturers that explore the value of materials - particularly waste and our need for circularity. It's all about giving materials a new lease of life.more: materialmatters.design (94)","2022 is a new fixture on the London design calendar. Based on the critically acclaimed podcast of the same name, the event will see its inaugural edition take place during this year's London Design Festival, on the capital's Southbank."
"Leon Speakers recently partnered with Logitech, Turf Design, Shure Audio, and American Lighting to create Cove, a revolutionary new desktop accessory that enhances the overall work experience.",https://www.dexigner.com/news/33915,Cove by Leon: A New Way to Work,2022-09-15,"Leon Speakers recently partnered with Logitech, Turf Design, Shure Audio, and American Lighting to create Cove, a revolutionary new desktop accessory that enhances the overall work experience. Cove establishes a whole new category of products that will take virtual work and screen time to the next level.Experts estimate that by the end of 2022, 25% of all North American professional jobs will be remote-with that number continuing to increase into 2023. Though the work landscape is changing rapidly, current workplace technology desktop design has yet to catch up to many of the new demands associated with remote, hybrid, and even on-site work. Cove, an all-in-one desktop privacy, lighting, sound-damping, and organization product, represents a brand new design-oriented solution to today's increased conferencing and screen time demands.Cove's adjustable diffused lighting, sound-dampening felt interior, and personalizable magnetic surface are meticulously designed to improve focus and privacy while reducing ambient noise and eye strain-all under the ultra-flattering glow of webcam-friendly lighting. It is built to house any tablet, laptop, or monitor up to 27 inches, including the new Apple Studio Display.Natural LED bias backlighting by American Lighting comes with remote-adjustable color brightness, while Cove's antimicrobial recycled TURF felt interior reduces ambient noise and elevates privacy, even in a crowded room. Cove's precision-engineered steel is manufactured in the USA, and its sustainably sourced engineered Baltic Birch shelf is finished in Leon's own workshop.""Blending design with technology is what we do here at Leon,"" commented Leon founder and president Noah Kaplan. ""So when we started seeing post-pandemic work environment changes, we felt like we could use our industry expertise and experiences as creators ourselves to take a new approach to the term 'audiovisual.' Cove's design makes marked improvements in our daily workflow, communication, and the way we feel on-screen and at the end of the workday.""Photos: Courtesy of Leon Speakers","Cove is a revolutionary new desktop accessory that will take virtual work and screen time to the next level. Cove's adjustable diffused lighting, sound-dampening felt interior, and personalizable magnetic surface are meticulously designed to improve focus and privacy while reducing ambient noise and eye strain-all."
"Morrama recently developed a more sustainable packaging range for restaurant chain wagamama. The new packaging will be implemented across the delivery and takeaway operations, replacing over eight million plastic packaging items.",https://www.dexigner.com/news/33914,Morrama Develops Sustainable Packaging Solution for wagamama,2022-09-15,"Morrama recently developed a more sustainable packaging range for restaurant chain wagamama. The new packaging will be implemented across the delivery and takeaway operations, replacing over eight million plastic packaging items.Approached by wagamama in 2021, the design team was challenged to rethink the restaurant's takeaway packaging to meet the brand's ambitious sustainability goals. Drawing inspiration from the circular economy strategy and with advice from external recycling and packaging experts, the innovation agency first defined the driving principles behind wagamama's packaging redesign: Reduce: wagamama will no longer rely on up to 330 tonnes of virgin plastic every year for its delivery packaging operations; Recycle: wagamama is the first in the industry to use materials made from 70% recycled content; Improve: Morrama worked with both wagamama guests and the design team to improve the overall experience from 'bowl to soul.'Where possible plastic was removed completely. However, despite exploring bio-based and biodegradable materials, plastic remained necessary to preserve the taste and temperature of some dishes and ensure they make it to customers without leakages. To ensure the new packaging range met the sustainability criteria, Morrama spent over a year working alongside a thermoformed food packaging supplier to develop a solution using a new, industry-first recyclable material called cPET.The design of the packaging itself is representative of Morrama's attention to detail. The form is a fresh take on the restaurant's distinctive ramen bowls. Thoughtful considerations extend from how the bowls stack in the bag to how crispy squid is kept crispy, whilst removing excess material at every step. A more natural light sandy tone has replaced the distinctive wagamama grey, reflecting this planet-conscious step forward, and ensuring the materials are more easily picked up by the scanners in recycling plants.""It's been an absolute pleasure to work with the team at wagamama. They are constantly pushing and questioning the sustainable credentials of their packaging, wanting to do the absolute best possible,"" said Jo Barnard, founder of Morrama. ""The goal of this project has been about reduction as well as improving the experience for both their team and guests. We are over the moon with the outcome.""The new packaging began rolling out and will be live across all restaurants and delivery kitchens by October once the old stocks are used up.Photos: Courtesy of Morrama","wagamama has developed a more sustainable packaging range for its restaurant chain wagamama. the new packaging will be implemented across the delivery and takeaway operations, replacing over eight million plastic packaging items."
