topic,link,headline,date,subline,author,article,summary
creative inspiration,https://www.creativereview.co.uk/2023-art-design-degree-show-guide/,2023 art and design degree show guide,2023-05-23,We’ve created a guide to the UK undergraduate art and design showcases taking place this summer,Creative Review,"As art and design graduates around the UK gear up to present their very best work, we’ve assembled a guide to undergraduate shows taking place across the country in the next few months. We suggest checking the links for specific details on presentation formats and opening times, as many showcases will be closed over the late May bank holiday weekend.There are more shows yet to be confirmed so we’ll be updating this list on a rolling basis. If your BA degree show or one you know of isn’t listed, let us know through social media or email a member of the editorial team so we can add it in.Anglia Ruskin University (May 19-June 23)Arts University Bournemouth (June 30-July 7, and online from July 31)Arts University Plymouth (June 23-29)Belfast School of Art (June 10-17)Birmingham City University, Inspired Festival (June 10-25)Buckinghamshire New University (June 16-21)Camberwell College of Arts, UAL (June 9-17, and online)Cardiff School of Art and Design (June 7-13)Central Saint Martins, UAL (Fashion Communication: May 25-31; Art, Design, Materials, Innovation and Culture: June 15-18; and online)Chelsea College of Arts, UAL (June 8-17, and online)City & Guilds of London Art School (June 24-30)Coventry UniversityD&AD New Blood Festival (July 4-6)Edinburgh College of Art (June 2-11)Edinburgh Napier (May 26-June 1)Falmouth University (until June 1)Free Range (Week 1: June 23-25; Week 2: June 30-July 2)Glasgow School of Art (June 2-11, and online from June 1)Goldsmiths University of London (Design: June 23-27; Fine Art: June 23-26)Gray’s School of Art (June 10-17)Leeds Arts University (June 19-24)Leeds School of Arts (June 3-9)Liverpool School of Art and Design (May 26-June 9)London College of Communication, UAL (Media: May 25-30; Design: June 14-17, and online)London College of Fashion, UAL (online)London Metropolitan University (June 21-July 1)Loughborough University (June 14-18)Manchester School of Art (June 10-21)New Designers (Week 1: June 28-July 1; Week 2: July 5-8)Northumbria University (Design: June 22-29; Fine Art: May 24-28)Norwich University of the Arts (June 16-22, and online from July 11)Nottingham Trent University (May 25-26, and online)Oxo Tower Wharf: New Creatives (June 12-July 16)Ravensbourne University London (May 25-July 16)Staffordshire University (June 2-10)Swansea College of Art (until June 16)University of Brighton (June 3-11)University for the Creative Arts, Canterbury (June 10-21)University for the Creative Arts, Epsom (June 7-21)University for the Creative Arts, Farnham (June 8-21)University for the Creative Arts, Rochester (June 9-21)University of Central Lancashire (Preston) (June 8-28)University of Cumbria (June 5-10)University of Derby (June 10-16)University of Dundee (May 20-28, and online)University of Hertfordshire (May 23-June 3, and online)University of Lincoln (June 17-25)University of Portsmouth (June 19-23)University of Plymouth (June 10-16)University of Suffolk (June 22-July 1)University of West England (June 9-15, and online)University of Worcester (May 26-June 1, and online)Wimbledon College of Arts, UAL (June 10-17, and online)Winchester School of Art (June 16-18)Top image: Shutterstock/DR-studio",", and online from July 31)Arts University Bournemouth (June 30-July 7)Arts University Plymouth (June 23-29)Belfast School of Art (June 10-17)City & Guilds of London Art School (June 24-30)City & Guilds of London Art School (June 24-30)City & Guilds of London Art School (June 24-30)City & Guilds of London Art School (June 24-30)City"
creative inspiration,https://www.creativereview.co.uk/eurotunnel-le-shuttle-rebrand/,Eurotunnel Le Shuttle undergoes biggest rebrand in 30 years,2023-05-12,Landor & Fitch has rebranded Eurotunnel Le Shuttle in a bid to appeal to a new generation of travellers and be seen as a low-carbon travel option,Rebecca Fulleylove,"Channel Tunnel operator Getlink has launched the largest rebrand of Eurotunnel Le Shuttle since it opened almost 30 years ago. The first change is a revised name, with the service now officially known as LeShuttle. Following that, the brand has worked with consultancy Landor & Fitch to update its logo and a full identity system.   The rebrand was driven by data which flagged the confusion the public have around the Channel Tunnel passenger and car services. Combined with growing competition from other modes of transport, there was a need for LeShuttle to “shift perceptions to engage new audiences” and transform the brand to be seen as relevant and as an alternative low-carbon form of travel. Landor & Fitch worked with the LeShuttle team for ten months on the redesign which has been informed by consumer insights. With the goal to evoke feelings of freedom and ease when travelling, the team wanted to showcase the simplicity offered by LeShuttle, as well as create something a little more futuristic.The shortened name was pitched to separate the infrastructure from the service and give the whole brand a more contemporary feel. The updated logomark follows suit and aims to visually represent what sets LeShuttle apart: “speed, efficiency and care”. The rest of the identity hopes to differentiate itself from traditional train services in terms of its fast pace. The colour palette has also shifted away from its previous nationalistic identity to black and white with splashes of purple. For imagery, the photography opts for a user-generated look to give the sense that everyone’s journey is different and that’s the joy in the travelling experience. As the Channel Tunnel approaches its 30th anniversary next year, the brand says it is at a defining time in its history. The redesign will be implemented throughout LeShuttle’s brand and is part of a strategy to completely rethink the Channel Tunnel experience over the next decade.landorandfitch.com",to evoke feelings of freedom and ease when travelling. Landor & Fitch worked with the LeShuttle team for ten months on the redesign. the redesign is part of a strategy to completely rethink the Channel Tunnel experience.
creative inspiration,https://www.creativereview.co.uk/creativity-sucks-returns-for-a-new-series/,Creativity Sucks! returns for a new series,2023-04-26,Creative Review’s podcast is back and on a mission to tackle the most thorny questions facing creatives and brands today. In this episode we look at whether rebrands are worth the money,Creative Review,"The topic that causes more discussion than any other among Creative Review’s readership is branding and logo design. Despite much of our audience working in the design and creative industries, and presumably understanding what is involved in creating a new piece of identity work, responses can be savage, and often quite personal.It is with these reactions in mind that we have chosen the title of the first episode of the new series of CR’s podcast Creativity Sucks!, which poses the following question: are rebrands worth the money?To debate this, and the state of logo and branding design in general, host Eliza Williams is joined by three esteemed guests from the industry: JKR’s Lisa Smith, Pentagram’s Marina Willer, and Not Wieden+Kennedy’s Adam Rix, who all share their own – sometimes painful – experiences of launching new brand identities.Listen to the conversation below, or wherever you receive your podcasts. And if you enjoy the show, please like and share, it really helps!",", the first episode of the new series of CR’s podcast Creativity Sucks!, which poses the following question: are rebrands worth the money?Creativity Sucks! is the topic that causes more discussion than any other among Creative Review’s readership."
creative inspiration,https://www.creativereview.co.uk/fanta-branding-design-jkr/,Fanta unveils bubbly global branding,2023-04-04,"Illustrations and typography enhance the soft drink’s first global brand identity, which aims to bring consistency to its designs around the world",Megan Williams,"Fanta has joined the legions of soft drinks brands unveiling a new look as of late, including PepsiCo’s Pepsi and 7Up in the last six weeks alone.The redesign for Fanta, which is owned by the Coca-Cola Company, marks the brand’s first effort to create a consistent design system across all of its markets around the world.The new identity and packaging design were both led by the Coca-Cola Global Design team in collaboration with Jones Knowles Ritchie (JKR), which is fresh from launching a new look for Stella Artois.The new logotype is a fairly subtle evolution of the previous iteration launched in 2017. The letterforms are slightly more even now, but they’re still extruded and staggered as they were before, and blue continues to play an important role, though the shade has been newly tweaked.A new custom typeface has also been developed with type foundry Colophon, which has just the right amount of wonky angles and proportions.The most noticeable change to the wordmark is the loss of the orange motif and leaf, presumably so that people don’t just associate the brand with its well-known orange flavour.The expanded colour palette was chosen to drive home the different options in the Fanta line-up, reinforced by a series of fruity graphics indicating the various flavours that appear on the cans. The suite of fruit symbols seen throughout the visual identity are complemented by Lucas Wakamatsu’s joyful illustrations, which work particularly well when animated.“We were really inspired by the idea of bringing playfulness to consumers of all ages when we started to ideate around how to bring the brand’s purpose to the masses,” said JKR’s global ECD, Lisa Smith.“By thinking what this meant for the brand’s expression, attitude, and actions, we were able to build a distinctive brand identity that signalled Fanta’s commitment to fun at every level – from real life to digital.”jkrglobal.com",the brand’s commitment to fun at every level – from real life to digital. the brand has joined the legions of soft drinks brands unveiling a new look as of late. the new identity and packaging design were led by the Coca-Cola Global Design team.
creative inspiration,https://www.creativereview.co.uk/gradwatch-callout-2023/,Graduates: we want to see your work!,2023-06-19,Our annual showcase of the best graduate creative work is back for 2023. Send us your work by July 11 to be in with a chance of being featured in Creative Review,Creative Review,"Gradwatch, our yearly showcase of the best graduate talent, is returning this summer – and we’re on the lookout for creatives to spotlight as part of it.We’ll be looking through as many physical and digital degree shows as we can, but with significantly fewer online showcases this year, the best way to make sure we see your work is by sending it to us directly.We’re inviting anyone who is completing a creative undergraduate degree programme in summer 2023 to submit your work to the CR team. You can be studying anywhere in the world, not just the UK.Send us your work by emailing us at gradwatch@centaurmedia.com. You can submit up to five examples of work you’ve created, and we’d love to hear more about yourself too, so please include a short paragraph explaining what area of creativity you specialise in, and information about which university and course you have graduated from.You can send images as JPG/PNG files, and videos should be sent as MOV/MP4 files via WeTransfer or Dropbox. We also accept links to view work online, but please do not send zip files, as we won’t receive these. The deadline to send in entries is July 14.The graduates selected to take part in this year’s showcase will be profiled on the Creative Review website in August. If you’re in need of any inspiration, head to our Gradwatch page to see previous participants. We look forward to seeing your work!","the best graduate talent, and we’re looking for creatives to spotlight as part of it. Gradwatch, our yearly showcase of the best graduate talent, is returning this summer – and we’re looking for creatives to spotlight as part of it."
creative insight,https://www.creativereview.co.uk/onothing-beats-a-londoner-advertising/,"Ok advertising, it’s time to let go of Nothing Beats a Londoner",2023-06-20,"Nike’s 2018 campaign is still lauded for its razor-sharp representation of Black British culture. But brands who continue to piggyback of its success are missing an opportunity to genuinely connect with communities, says Damola Oladapo",Damola Oladapo,"As a Black man working in the ad world, I spend a fair amount of time discussing the foibles of being Black in advertising. What needs fixing? What’s changing? And, most importantly, what recent work represents actual progress? I recently had a thought on my mind that spoke to all three of those questions: Why is every ad from any brand that wants to hero diversity and develop cultural adjacency to Black Britishness have the same aesthetic as Nothing Beats a Londoner?In 2018, Nothing Beats a Londoner was an instant hit that immediately shook up culture, and for good reason. It was (and still is) a great distillation of London’s spirit and energy. An incredible achievement from Nike, Wieden + Kennedy, On Road and Megaforce. The ensemble cast featured some of the best and the burgeoning voices of Black British talent – Skepta, Giggs, J Hus, Jorja Smith, Michael Dappah, Little Simz, Dave, the list goes on. Even Gareth Southgate got a spot.The excellently rendered soundtrack started with Skepta’s then still relatively new-but-insta classic Shutdown, into OG bangers with Kano’s Typical Me, before Dizzee Rascal closed things out. It featured young, Black, inner-city kids speaking naturally, as they would with friends. We can credit the ad’s courage to embrace this wholeheartedly as a key moment in how the industry began its attempts to authentically represent the Black British experience.By now, most brands have all had a crack at making their version, and the clones have only helped to prop up the brilliance of the originalThe ad felt fresh, it felt new, and it felt celebratory. Celebratory because it was an acceptance and recognition that Black British culture and London’s youth are the creative engines behind the world’s premier creative hub. 2018 also saw Skepta and A$AP Rocky’s Praise Da Lord become the biggest song of the year, a symbolic passing of the zeitgeist’s torch from NYC to LDN. Virgil Abloh and Off-White took over the capital to release the designer’s legendary The Ten’ remix of Nike classics. Then there was the emergence of England’s incredible new crop of young players at the 2018 FIFA World Cup, many of which were Londoners. You couldn’t see past London as the place, and Nike’s ad was the cherry on the cake.Now, looking back, Nothing Beats a Londoner feels like the unofficial, first part of Nike’s collaboration with Corteiz. Like the first chip falling to make that collaboration feel natural. As with all great works, the ad has spawned clones. Many, many, many of them. By now, most brands have all had a crack at making their version, and the clones have only helped to prop up the brilliance of the original.But the high proliferation of this style has also made it feel a bit reductive. Five years ago, the use of aesthetic-as-narrative felt like a real shift. The whip pans. The mixed perspectives. The crash zooms. The frenetic, kinetic cutting. A comic book panel in motion. The visual verbiage felt like a real understanding of how to create work that authentically represented the big, bright, and charismatically unique energy of Black British London.Five years on, the same aesthetic-as-narrative device has begun to feel platitudinal. A bit like having token Black/brown people in the frame to hint at comfort with diversity, rather than engaging with the layers of their experience to tell stories from. The culture has evolved, and the consumers have matured. It’s time for some fresh, new takes on storytelling in advertising if brands want to keep attracting and convert new black and brown customers. For example, Ikea’s recent ad under the Wonderful Everyday platform from Mother is a good example of fusing said aesthetic with some very subtle, but well-considered world-building.Film has always led the way with the macro cultural beats, then advertising follows. Take Raine Allen Miller’s debut feature Rye Lane, a Black British romcom featuring two African twenty-somethings from Peckham. It has loads of stylistic flair, it’s funny, acerbic and cleverly written, it has substance and style. Of course, a two-hour feature is going to give you more story than a two-minute ad. But Rye Lane represents progress, because it begins to widen the aperture of the lived experience within Black British media and storytelling beyond the well-worn tropes of road life depictions as the only Black British films that get commissioned.Advertising in a cultural context needs to follow suit, moving on from just cool aesthetics to also building stories around some funny, honest, irreverent, cultural insights. Let’s have more than just the Black presence, a few witty zingers, some whip pans, and crash zooms, and drill-inspired sound design. We need the swagger and the layered stories too.Brands, advertisers, agencies need to start playing bigger and braver, embracing and highlighting the wealth of stories and insights from within these culturesProgress is not a linear thing. Especially when progress is contingent on defeating structural blockers within an inherently biased industry. Nothing Beats a Londoner was a moment of progress, and the huge adoption of its style by brands and advertisers is obvious proof of that. It solved a problem for brands at the time, giving them a shorthand opportunity to communicate and leverage culture effectively to shift product (and gain some cultural brownie points).But now… times up. The idea is knackered. It’s just finished running its 30th consecutive London Marathon in a pair of Air Force 1s. Brands, advertisers, agencies need to start playing bigger and braver, embracing and highlighting the wealth of stories and insights from within these cultures. If advertising still wants to leverage culture and target Black and brown consumers, it’s time to start doing it with more cleverness and ingenuity.Damola Oladapo is a London-based freelance creative director, copywriter, journalist and founder of new creative studio House Captain. He has worked with brands including Nike, Spotify, FIFA, Campari Group and Gorillas. This article was originally published on his Linkedin",",,,,, the ad’s courage to embrace this wholeheartedly as a key moment in how the industry began its attempts to authentically represent the Black British experience. In 2018, Nothing Beats a Londoner was an instant hit that immediately shook up culture, and for good reason. It was an instant hit that immediately shook up culture, and for good reason."
creative inspiration,https://www.creativereview.co.uk/david-hurn-black-mirror-demon-79/,David Hurn captures Black Mirror stars in 70s get-ups,2023-06-19,"As Charlie Brooker’s cult TV series returns for a new season, the Magnum photographer was invited to take photos of stars Paapa Essiedu and Anjana Vasan on set",Megan Williams,"Netflix has launched the new season of Charlie Brooker’s Black Mirror, which promises to be “the most unpredictable, unclassifiable, and unexpected yet”. With it comes a suite of additional imagery by renowned Magnum photographer David Hurn, who was invited to take pictures on the set of the final episode, Demon ’79.Directed by Toby Haynes, the episode follows a shop assistant in the north of England who discovers a mysterious talisman. From there it spirals into a “darkly comic, bizarre kind of fable”, according to Brooker, who explained in a statement that “typically, Black Mirror has focused on tech dystopias or media satire, whereas this story has a stronger supernatural element, harking back to 1970s horror.”Hurn was invited by Netflix to shoot on the set of the new season. “My brief was basically to produce 70s looking pictures,” he tells Creative Review. “As this episode was set in the 70s, I got to shoot in black and white – the 70s colour – this was easy.” Hurn has been photographing since the mid-1950s, and his direct experience of making work during the period in which the episode is set lends an authenticity to the work, rather than feeling like a pastiche.His images zero in on the episode’s main cast: theatre performer and I May Destroy You actor Paapa Essiedu in full 70s glam, alongside A Streetcar Named Desire star Anjana Vasan, dressed more demurely in her character’s shop assistant uniform. These are joined by a handful of environment shots showcasing some more of the period set design and costumes. The photos were created for Netflix’s editorial platform Queue, and will be available for use on Netflix channels worldwide.Hurn has worked on sets before, capturing everyone from Bond to the Beatles, “so the thought of re-working in this field after 30 or 40 years was pleasing rather than daunting,” he explains.Of course, in that time, TV productions have become increasingly ambitious. “I was surprised by the amount of people – so many clipboards – at least as many as a major film set of earlier times. What was most obvious for me was how equipment had advanced and was so much smaller,” he says.“I think the producer and director had faith in me and just let me get on with it. My day was very relaxed and comfortable, I simply wandered around making sure I didn’t bump into anything or end up in shot – I feel I made mini friends with a couple of very capable actors and a writer. So pictures were easy.”Black Mirror season 6 is out now on Netflix",",,,, and how equipment was used to produce the set of the new season. Black Mirror, directed by Toby Haynes, follows a shop assistant in the north of England who discovers a mysterious talisman. The episode follows a shop assistant in the north of England who discovers a mysterious talisman."
creative inspiration,https://www.creativereview.co.uk/wes-anderson-asteroid-city-180-studios/,Wes Anderson’s Asteroid City comes to life in new exhibition,2023-06-19,"An array of original sets, props, miniatures, costumes and artwork from the cult director’s latest film are on display at 180 Studios in London",Aimee Mclaughlin,"Set in the fictional American desert town of Asteroid City circa 1955, Wes Anderson’s latest film tells the story of a Junior Stargazer convention that is spectacularly disrupted by world-altering events.The director’s stylised brand of filmmaking has gained a cult following among the creative community over the years, with behind-the-scenes crafts such as graphic design often garnering as much interest as the actual films.London’s 180 Studios has hosted a number of exhibitions dedicated to Anderson’s previous films, including the 1,000+ puppets that featured in Isle of Dogs and objects from The French Dispatch including prisoner Moses Rosenthaler’s distinctive paintings.Asteroid City is getting the same treatment ahead of its UK release on June 23, in a new exhibition curated in collaboration with Universal Pictures.The immersive show will transport audiences to the film’s sci-fi town namesake through installations, visuals, and sounds, including an opportunity to dine out at 1950s diner the Luncheonette.Alongside the original sets, props, miniatures, costumes and artworks on display, limited edition merchandise will also be on sale at the venue, including T-shirts, totes, screenplays, companion books, pin badges, and exclusive vinyl.Asteroid City Exhibition is at 180 Studios until July 8; 180studios.com","is at 180 Studios until July 8; 180studios.com has hosted a number of exhibitions dedicated to Anderson’s previous films.The immersive show will transport audiences to the film’s sci-fi town namesake through installations, visuals, and sounds."
creative inspiration,https://www.creativereview.co.uk/greenpeace-reimagines-fleetwood-macs-dont-stop-for-the-climate-crisis/,Greenpeace reimagines Fleetwood Mac’s Don’t Stop for the climate crisis,2023-06-16,"Created to inspire the next generation of climate activists, the cover track is accompanied by a striking campaign film directed by Samona Olanipekun and exec-produced by Steve McQueen",Aimee Mclaughlin,"Greenpeace is well known for its creative approach to campaigning. Building on the impact of its 2018 Rangtan campaign, in recent years it has used stop-motion animation to call out the UK government’s failings on waste and teamed up with Wallace and Gromit creator Aardman to highlight the plight of the ocean’s turtles.The environmental organisation’s latest campaign is no exception, using a cover version of one of Fleetwood Mac’s biggest hits, Don’t Stop, as a call to action for people worried about the state of the planet and our collective future.Devised by long-time agency partner Mother, the reimagined song is produced by Fraser T Smith, who has worked with everyone from Dave to Drake. It features searing new lyrics by rapper Avelino, vocals from the House Gospel Choir, and instrumentation from jazz talent development organisation Tomorrow’s Warriors.The accompanying short film takes a stark look at the state of the world and all our roles in it. Exec-produced by Steve McQueen, it has been directed by his protege Samona Olanipekun through the director’s production company Lammas Park.Envisaged as a metaphor for our current climate crisis, the film shows an increasingly raucous party where the revellers (including a cameo appearance from Will Poulter) fail to see the damage they are causing. “This short film is an arresting look at the state of a world hurtling out of control,” says McQueen.“It captures the unease at seeing corporations (especially those of oil and gas) and their enablers do damage to the environment on our behalf, acting like there’s no tomorrow and driving the climate crisis solely for their profit. But we have collective power to realise a different future. It’s imperative that people don’t forget, tomorrow is promised to no one.”Don’t Stop will feature heavily at Glastonbury this year, with the film airing on the big screens at main stages throughout the festival. The project’s branding will also be used across the site, including on Glasto’s famous tote bags, which will bear the words: ‘Don’t Stop Thinking About Tomorrow’.Credits:Creative/Strategy: MotherMusic: Christine McVie/Universal Music Publishing GroupProducer: Fraser T SmithOriginal Rap Verses: AvelinoPerformers: Future Utopia X Avelino X Tomorrrow’s WarriorsMix: Scott BarnettFilm Production: Lammas ParkDirector: Samona OlanipekunExecutive Producers: Steve McQueen, Bona Orakwue, Anna Smith TenserDOP: Annika SummersonProduction Designer: Jade Adeyemi","Greenpeace is well known for its creative approach to campaigning. based on the impact of its 2018 Rangtan campaign, it has used stop-motion animation to call out the government’s failings on waste. it has teamed up with Wallace and Gromit creator Aardman to highlight the plight of the ocean’s turtles."
creative inspiration,https://www.creativereview.co.uk/mini-stories-scout-editions/,Mini Stories book explains everyday phenomena in riso prints,2023-06-16,"Featuring striking colours, textured illustrations and fascinating stories, the book has something for children and adults alike",Daniel Milroy Maher,"London-based design studio Scout Editions has released Mini Stories, a book about the history behind the things that surround us, from the natural world to manmade objects.Published by Counter-Print, the book was born from the studio’s love for history and storytelling, as well as its penchant for vibrant illustration, riso, and colour.Combining all of these elements, Mini Stories takes readers through the back stories of some of our most well-known and beloved objects, traditions, and phenomena.Included in the book’s 288 pages are fascinating facts such as how the ice-cream cone was invented, how Dalmatians get their spots, and how long the longest game of chess was.There are also straightforward explanations behind phenomena such as rainbows and ‘golden hour’ sunshine, as well as short histories of certain animals and insects.These snappy stories are accompanied by lovingly illustrated artworks that exhibit Scout Editions’ trademark colourful approach. Simply rendered and originally printed on a riso printer, they add an eye-catching visual element to each explainer.This style is carried through to the casebound cover, which features a bellyband displaying one of the book’s many illustrations. With eight different bellybands available, readers can choose their favourite story to adorn the front of the book.Mini Stories shines a light on the little known stories behind some of the world’s most ubiquitous objects, capturing their essence in short tidbits suited to both child and adult readers.Broad in scope and simple in its execution, the book is accessible and engaging, and shows an appreciation not just for the things humanity has invented, but for nature’s own marvellous work.Mini Stories is available via Counter-Print; counter-print.co.uk","is a book about the history behind the things that surround us, from the natural world to manmade objects.Mini Stories is available via Counter-Print; counter-print.co.uk; counter-print.co.uk; counter-print.co.uk; counter-print.co.uk; counter-print.co.uk."
creative insight,https://www.creativereview.co.uk/new-talent-production-companies-directors/,How production companies can be a film school for the next top director,2023-06-15,"Danielle Hinde, founder at Doomsday Entertainment, draws on her experience of working with directors such as Hiro Murai, Alma Har’el, and The Daniels to explain the role that production companies play in nurturing the new talent the industry needs",Danielle Hinde,"Scouting around to find remarkable new directing talent is the axle that keeps the wheel turning for our creative film, TV, music video and advertising industries. Producers and reps can’t afford to rest on their laurels by only touting the names of established talent: that’s how creativity gets complacent.Over the years, always remaining in search of new talent is how I’ve kept the train running as a producer of award-winning videos and films. It’s why I’ve been nicknamed Mama Doom: I’ve raised a lot of baby filmmakers over the decades. I’ve found that it’s important to develop both your sixth sense for potential talent when they’re new to the industry, and your ability to nurture their creative and practical skills as a director. The formula isn’t difficult to replicate and pays dividends in creative output.One key to discovering new talent is to look for their original taste: a native wellspring of fresh ideas. There is no shortage of new directors, especially in the content creator era where everyone with an iPhone is an amateur filmmaker, but having an eye for their potential is the true party trick.","talent, and your ability to nurture their creative and practical skills as a director. the formula isn’t difficult to replicate and pays dividends in creative output."
creative inspiration,https://www.creativereview.co.uk/sowvital-branding/,Nature and cosmetics inspire Sowvital’s branding,2023-06-15,"Drawing on lifestyle aesthetics and plant motifs, Sowvital’s new identity is both aspirational and down-to-earth",Daniel Milroy Maher,"Design studio LDS has collaborated with plant sciences brand Sowvital to create its new identity. Founded in London in 2022, Sowvital is a plant care brand offering vegan and environmentally friendly products.To create the branding, the team drew heavily on the cosmetics industry as a source of design inspiration, taking cues for everything from its product shape and packaging to its colour palette and product photography. LDS founder Leslie David says that the branding and packaging are based on the idea of “mirroring the rituals and behaviours from the beauty and wellness space”.Although Sowvital’s current core offerings are indoor and lifestyle-oriented, its plans to expand to more outdoor, technical products in the future meant that the LDS team developed a versatile and adaptable identity – one rooted in the duality of “heritage and innovation”.Much like other aspects of the branding, the Sowvital logo references forms found in nature, but offers a modern twist. “We developed a brand symbol that reinterprets early botanical drawings, often cross-sections, showing the innards of a leaf in a very schematic way,” explains David. It was about “taking inspiration from a broad archive of horticultural art, bringing the core foundations of the botanical world into the present day, and creating a contemporary interpretation of the science that backs up the formulations that Sowvital creates”.Despite the academic nature of the inspiration, these visual elements feel far from rigid and formulaic. The abstract, artistic rendering of the logo combines with other playful illustrations found elsewhere across the brand, including anthropomorphic drawings of plants that add a joyful and friendly touch to Sowvital’s communications.Speaking on the former, David says “these mysterious shapes came together quite fast, likened to a Rorschach test, and highlight the ambiguity of flowers, and forms found within nature as a whole”. She goes on: “It’s our hope this reignites the innate awe and appreciation we all have for the natural world, which urban living doesn’t always allow us to feel so connected to.”These evocative and eye-catching illustrations are complemented by a minimal colour palette that juxtaposes off-white labels and packaging with punchier gradients, again referencing the cosmetic industry in its slickness, but offsetting that against earthier elements that speak to Sowvital’s ethos.As a B Corp, creating a sustainability-focused identity was a crucial part of the process, and David says this commitment informed her studio’s approach. “They take great care not only in the processes used in their formulations but also in their packaging and fulfilment. By focusing on recyclable, carbon-neutral materials, the packaging aims to maintain its elegance and quality to reflect the product within, while still being considerate of the world it occupies.”leslie-david.com","and design studio LDS has collaborated with plant sciences brand Sowvital to create its new identity. Founded in 2022, Sowvital is a plant care brand offering vegan and environmentally friendly products. despite the academic nature of the inspiration, these visual elements feel far from rigid and formulaic."
creative inspiration,https://www.creativereview.co.uk/channel-4-idents/,Channel 4’s cascading idents reflect Britain’s multitudes,2023-06-14,"The broadcaster has revealed a new set of looping channel idents envisioned by 17 different creators, with each scene connected by the 4 logo",Megan Williams,"Channel 4 has unveiled a new set of idents made by its in-house creative division, 4creative, in collaboration with Art Practice and Love Song. The five idents consist of five unique scenes joined together into cascading sequences based on a theme: Identity, Land, System, Release, and Love.“This allows for variety through the day as our idents play out all day, every day – so creating different start points was important not just from a creative variety point of view but also making them fit for purpose as continually repeated assets,” 4creative ECD Lynsey Atkin tells us.The base of the 4 logo, which has been foregrounded in Channel 4’s new brand identity, acts as a cube-shaped portal into the next scene. “It means contrasting worlds sit unquestionably next to each other,” Atkin says. “Much like Channel 4 itself, you never quite know what’s around the next corner and hopefully that keeps things interesting!” The scenes are truly broad: from warehouse to woodland, schoolyard to graveyard, and even an underwater seascape.Mike Skrgatic, creative director at Art Practice, describes it as “one long, ever-changing tapestry” that reflects modern Britain, fitting with Channel 4’s new Altogether Different brand line. Yet the smooth segue from scene to scene also appears to tie in with the broadcaster’s ambitions to blend its linear and digital presence, which includes bringing its on-demand service All 4 under the Channel 4 banner.The scenes were created by 17 different directors and creators working across a mix of live action, animation, and computer generated imagery. Creating seamless transitions between them required extensive planning, from balancing scales, orientations, textures, tones, and palettes, to calculating the variable speed of the camera’s movement through each scene.“The camera moves 25 times faster at the head of the move compared to when we arrive at the base of the 4 and enter into the incoming scene. The motion resets and the incoming scene takes over, travelling 25 times faster,” explains Skrgatic. “This factor alone took golden spiral, Mandelbrot-like, complex mathematical consideration to solve. I love where art meets science, this felt like a collision of those worlds.”The ambitious concept was bound to throw up challenges – and, with it being all about Britain, that obviously involved the weather. Skrgatic says the team was “riding our luck with the weather in Scotland”, where all of the live action scenes were shot across four days. Atkin recalls the Friday night scene, which appears to be suspended in time, being particularly difficult. The shoot took place on a windy night, which caused concerns as “we needed not just our cast, but their hair, props and clothing to stay absolutely, completely still in order to achieve the effect”.The emphasis on craft is clear to see in every kind of visual, whether that’s “syncing panes of shattering glass captured in high speed”, Skrgatic says, or the extensive post and VFX work led by Time Based Arts.To mark the launch, there will be a one-off screening of a version that uses all 25 scenes as an ad break takeover. The continuous version is linked together with the help of spoken word artist John Joseph Holt, whose affectionate narration of the “pot-holed United Kingdom” manages to encapsulate Channel 4’s critical yet warm spirit.The visuals were near completion when Holt was brought in. “It meant the writer could personally respond to the work, rather than us be overly prescriptive,” Atkin explains.“Like everything through the project, we wanted to feel the artist’s intention, rather than the heavy hand of an all-seeing eye. I hope this is ultimately what the work achieves – a seamless group of worlds that all work together, but showcase very different voices and styles,” she says, “an infinite looping universe where nothing stands out because everything stands out.”Credits:Agency: 4creativeECD: Lynsey AtkinCreative Directors: Mike Srgatic, Daniel Wolfe, Lynsey Atkin, BaficProduction Company: Art Practice x Love SongDoPs: Daniel Landin, Eponine MomenceauVFX and Post Production: Time Based ArtsAudio Post Production: String and TinsDirectors: Saman Aminzadeh, Optical Arts, Bafic, Mike Battcock, Will Dohrn, Daniel Eatock, Mike Skrgatic and James Allen, Verity May Lane, Maria Lax, Tim McCourt and Max Taylor (The Line), Louis McCourt, Justyna Obasi, Elliott Power, The Romantix, Dan Tobin Smith (Optical Arts), Daniel WolfeSpoken word: John Joseph Holt","a new set of idents created by its in-house creative division, 4creative. the five idents consist of five unique scenes joined together into cascading sequences based on a theme: Identity, Land, System, Release, and Love. the five idents consist of five unique scenes joined together into cascading sequences based on a theme: Identity, Land, System, Release, and Love."
