topic,headline,subline,link,author,date,geoloc,article,summary
business,POM Launches New Subsidiary POM Anime at Annecy 2023,"The anime arm kicks off with festival screening of ‘The First Slam Dunk’ feature, based on the ‘Slam Dunk’ manga series, slated for release in cinemas across Scandinavia, Poland, Baltics, Greece, and the Central European region late Summer 2023.",https://www.awn.com/news/pom-launches-new-subsidiary-pom-anime-annecy-2023,Debbie Diamond Sarto,2023-06-19,europe,"Last week at Annecy 2023, Piece of Magic Entertainment (POM) launched its new subsidiary, POM Anime – coinciding with the acquisition of distribution rights to the anime film, The First Slam Dunk, which screened at the festival. The film, to be released under the POM Anime banner, is slated for theatrical release across Scandinavia, Poland, Baltics, Greece, and the Central European region late Summer 2023.In recent years, POM has distributed popular anime titles, including Demon Slayer: Mugen Train, Jujutsu Kaisen 0, and One-Piece Film: Red. With the launch of POM Anime, the company plans to bring the genre to a larger global audience. Additional anime title announcements are expected in the coming weeks.POM Anime’s first release, The First Slam Dunk, according to POM, has already achieved box-office success, grossing over $260 million worldwide in Asian markets to date, making it the fifth highest-grossing anime film of all time. The film is based on the Takehiko Inoue Slam Dunk manga series and is written and directed by Inoue and produced by Toei Animation.“We are thrilled to be launching POM Anime at Annecy, which has become a world reference for Animation,” commented POM CEO & founder Caspar Nadaud. “At Piece of Magic, we are a cinema-first business; we are driven by projects that bring people of all generations together to experience exceptional content collectively on the big screen, as we believe there is nothing like it. Whether that be anime, music and live gaming events, prestige feature films or documentaries –we believe it can be enjoyed the most on the big screen. We are excited to expand upon our distribution portfolio further with POM Anime and we are looking forward to bringing this hugely adored genre to even more cinema screens and wider audiences around the world.”Source: Piece of Magic EntertainmentDebbie Diamond Sarto is news editor at Animation World Network.","POM Anime is slated for theatrical release across Scandinavia, Poland, Baltics, Greece, and the Central European region late summer 2023. POM Anime’s first release, The First Slam Dunk, has already achieved box-office success, grossing over $260 million worldwide in Asian markets to date."
call for entries,Call for Entries: ATF x TTB Animation Lab & Pitch 2023 Open for Submission,The Animation Lab & Pitch 2023 invites Asian and European animation producers to apply for a two-part workshop aimed to offer insight into the animation market on both continents.,https://www.awn.com/news/call-entries-atf-x-ttb-animation-lab-pitch-2023-open-submission,AWN Staff Editor,2023-06-19,asia,"Ties That Bind (TTB) announces a new partnership with Asia's key content market Asia TV Forum & Market (ATF) and the launch of a brand-new lab tailored specifically to the needs of the animation industry.Starting in 2023, Ties That Bind and Asia TV Forum & Market (ATF) are joining forces for the ATF x TTB Animation Lab & Pitch. This new initiative will bring together producers from across Asia and Europe to explore new opportunities for financing and co-production, new markets, and new audiences. Additionally, this venture will complement the existing TTB Asia-Europe co-production workshops.The Animation Lab & Pitch brings together selected Asian and European animation producers to offer insight into the animation market, financing, and co-production possibilities on both continents. An intensive online prep session in autumn segues to an onsite lab, an open pitch, and further onsite activities with renowned industry decision-makers in December. The goal of the training is to prepare the participants for the market launch and pitch of their projects, which will take place at the Asia TV Forum & Market (ATF) in Singapore on December 6-8, 2023. There will be 8-10 animation projects selected (4-5 each from Asia-Pacific countries and Europe). Accepted formats include feature-length animated films, as well as TV formats (series or mini-series) and short films in development or financing stage. Preference will be given to projects with great creative potential, exciting visuals, interest and potential for co-production, and potential for travel across borders and continents. The program is not open to preschool content. Preference will be given to animation for youth, families, and adults. Two Sessions1. 5-days online prep session by experts will take place in late October/early November 2023 online.The main objectives of the online one-week intensive training are:Understand how to prepare and structure a package for the international marketGet an insight into funding opportunities between Europe and AsiaReceive feedback on your financing plans, strategies and project pitchRefine the preparation and delivery of a quality pitch  2. In-person lab & pitch @ATF will take place December 6-8, 2023 in Singapore.The main objectives of the three-day on-site presence at the ATF market in Singapore are:Participate in lab sessions by key decision makers Networking with fellow attendees Pre-stage guidance from a mentor for the Open PitchParticipate in the ATF Open Pitch to showcase projectsJoin in the curated matchmaking session with Asian / European experts / decision-makersThe deadline for submission is September 8th, 2023. There is no submission/participation fee.Visit the TTB site for more info or here to apply.Source: Ties That BindAWN Staff Editor(link sends e-mail)","is a new partnership with Asia's key content market Asia TV Forum & Market (ATF) and the launch of a brand-new lab tailored specifically to the needs of the animation industry. The aim of the online one-week intensive training is to prepare the participants for the market launch and pitch of their projects, which will take place in Singapore on December 6-8, 2023."
careers in animation,Podcast EP 212: How Spencer Moreland Quit Studio Life to Become a Full-Time Freelance Animator,"The independent animator, filmmaker, and freelance storyboard artist shares his journey from studio life to freelance life – and what it took to get there.  ",https://www.awn.com/news/podcast-ep-212-how-spencer-moreland-quit-studio-life-become-full-time-freelance-animator,Debbie Diamond Sarto,2023-06-19,all,"Check out Terry Ibele’s Animation Industry Podcast featuring a new podcast every week focusing on the stories of today’s animation professionals - how they got to where they are and what they learned along the way. Now home to 212 episodes, the podcasts cover all areas of the industry, including storyboarding, writing, animating, directing, visual development, and game design. Guests have included Aaron Augenblick, the notorious JJ Villard, Spike & Mike’s Spike Decker, Disney Director John Musker, Sony Lead Animator Humberto Rosa, Frederator’s Fred Seibert, Tumble Leaf’s Scarlet Nelson, and many others from major animation studios all over the world.Episode 212: How Spencer Moreland Quit Studio Life to Become a Full-Time Freelance AnimatorThis chat features independent animator, filmmaker, freelance storyboard artist, and TAAFU director of programming Spencer Moreland. Moreland, who has worked on projects including Loud House, Pinky Malinky, Miss Persona, DC Superheroes, and several independent films, shares how he pursued, worked his way up, then quit studio life to pursue a freelance career - and how that changed everything for him.Tune in to Ibele and Moreland to hear:The first step in switching from studio life to life as a full-time freelancerMoreland’s number one piece of advice for tackling a new animation skillThe best pitching advice you’ve ever heard!Ibele has begun to publish the interviews as videos as well – you can find previous interviews here!Check out Moreland’s Social Links:Follow Moreland on InstagramCheck out Moreland’s short film Lastkinders on YouTubeFollow Moreland on TwitterIbele, himself a stop-motion animator (see AWN’s Fresh Takes piece on his whimsical short, The Silly Duck Wizard), deftly digs into all manner of topics, encouraging interviewees to share insights and opinions on a wide range of topics like pitching shows, marketing your work online, key skills studios look for when they bring on talent in storyboarding, vizdev, character design, and animation.In 2018, Ibele, who lives in Toronto, decided to quit his career as a Marketer and pursue his love for animation. Since then, he’s become well known for his viral animation productions, which include the previously mentioned Silly Duck Wizard, which is how A.W.N. first came to know him and his work.Learn more about Ibele’s work and podcast by visiting terryibele.com. You can find all The Animation Podcast episodes on his Soundcloud site: https://soundcloud.com/animation-podcast.Debbie Diamond Sarto is news editor at Animation World Network.",Terry Ibele Terry Ibele’s Animation Industry Podcast Terry Ibele Terry Ibele’s podcast focuses on the stories of today’s animation professionals - how they got to where they are and what they learned along the way. Terry Ibele’s podcast is a new podcast every week focusing on the stories of today’s animation professionals - how they got to where they are and what they learned along the way.
festivals,Anibar Feels the Love,Anibar Animation Festival reveals the theme for its 14th edition taking place July 17-23.,https://www.awn.com/news/anibar-feels-love,AWN Staff Editor,2023-06-16,europe,"Anibar Animation Festival, taking place from July 17-23 in Peja, Kosovo, unveiled ""Love | Dashni"" as the theme for its 14th edition. Founded in 2010, Anibar is the only animation festival in Kosovo, and one of the biggest cultural events in the country.The festival seeks to embrace the multifaceted nature of love, a force that transcends language, and that speaks to the core of our humanity, particularly in a world often consumed by chaos and division. Throughout the seven days, the artistic programming will immerse visitors in animation, and the theme will explore the transformative power of human connections.                                                 Additional information is available on the festival website here.Source: Anibar International Animation FestivalAWN Staff Editor(link sends e-mail)",",,, and explores the transformationative power of human connections. Anibar Animation Festival, taking place from July 17-23 in Peja, Kosovo, unveiled ""Love | Dashni"" as the theme for its 14th edition. Anibar Animation Festival, taking place from July 17-23 in Peja, Kosovo, unveiled ""Love | Dashni"" as the theme for its 14th edition."
still in hiding,Justin Roiland Will Not Return for Squanch Games’ ‘High on Knife’ DLC,"The new campaign for smash hit ‘High on Life,’ which previously featured the creative’s voice as a talking gun, will now focus on the new female gun character Harper, voiced by Sarah Sherman, available Fall 2023 across the Xbox Series X|S, Xbox One, and PC platforms.",https://www.awn.com/news/justin-roiland-will-not-return-squanch-games-high-knife-dlc,Laurén Alexa,2023-06-16,all,"The hermit has not exited his cave. During the Summer Games Fest, Squanch Games announced the first DLC for breakout hit game High on Life, a horror-themed campaign called High on Knife, and it will not involve or feature the voice of Justin Roiland in any form.Roiland was previously charged with one felony count of domestic battery with corporal injury and one felony count of false imprisonment by menace, violence, fraud, and/or deceit. He pleaded not guilty to the charges in 2020. During the court proceedings in April, Roiland was dropped by Adult Swim and Hulu, and even stepped down from his CEO position at Squanch Games. However, while the estranged creative was acquitted of all charges filed against him, Roiland remains ‘cancelled.’Instead of relying on the vocal talents of Roiland, who voiced a talking gun in the main game, Sarah Sherman voices the new female gun character Harper. The DLC also features the new character Knifey, voiced by Michael Cusack.Check out the teaser for the extra creepy, anxiety inducing, anthropomorphic weapon-wielding DLC High on Knife now:High on Knife will be available to play Fall 2023 across the Xbox Series X|S, Xbox One, and PC platforms.Cybersecurity specialist by day, investigative journalist by night. ","acquitted of all charges filed against him, but remains ‘cancelled’. During the Summer Games Fest, Squanch Games announced the first DLC for breakout hit game High on Life. it will not involve or feature the voice of Justin Roiland in any form."
business,Adult Swim Greenlights ‘Common Side Effects’ from Mike Judge and Greg Daniels,"Announced at Annecy 2023, the new animated comedy series from the famed ‘King of the Hill’ creators looks at big pharma’s secret knowledge of the ‘elixir of life;’ the show is produced by Bandera Entertainment.",https://www.awn.com/news/adult-swim-greenlights-common-side-effects-mike-judge-and-greg-daniels,Debbie Diamond Sarto,2023-06-16,all,"Today at Annecy 2023, Adult Swim announced it has greenlit Mike Judge and Greg Daniels' new half-hour animated comedy, Common Side Effects, which delves into the complex reactions to the revelation of the mysterious “elixir of life.” Joe Bennett and Steve Hely created the series. It is executive produced by King of the Hill creators Judge and Daniels.The show follows former high school lab partners Marshall and Frances, who start to unravel a conspiracy involving big pharma and the federal government to suppress knowledge of a rare mushroom that may hold the key to curing all the world’s diseases.“Tonally, this is like nothing else in animation right now, so we knew immediately that Common Side Effects belonged on Adult Swim,” said Michael Ouweleen, president of Adult Swim, Cartoon Network, and Boomerang. “Mike, Greg, and this entire team have such deep pedigrees in the comedy and animation worlds, and this new series will tackle everything from government corruption to the pharmaceutical industry through their unique and hilarious perspectives.”“From the moment we heard the idea for Common Side Effects, we knew it was the perfect tone for our animation brand,” added Suzanna Makkos, executive vice president original programming for Adult Swim and Max. “The series is based on a thought-provoking idea that is totally original and brought to life with complicated, larger-than-life characters. We look forward to introducing this special show to the world.”Bennett will also debut a sci-fi animated series, Scavengers Reign for Max, and his animated shorts have been featured on FXX’s anthology series Cake. Hely was co-executive producer for HBO series Veep and a producer/writer for American Dad, The Office, and 30 Rock.Bandera Entertainment produces Common Side Effects with Judge, Daniels and Bandera president Dustin Davis serving as executive producers.Source: Adult SwimDebbie Diamond Sarto is news editor at Animation World Network.",",,, and executive producers.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com.com."
business,Epic Story Media Reveals Upcoming Production and New Property Slate,"At Licensing Expo, the kids’ entertainment company shares new brands, partners, and co-productions, including L&M for Studio 100 and Cheeky Little’s animated preschool property ‘Vegesaur,’ ‘The Gummy Bear Show’ produced by Toonz Media Group, and Bidaya Media’s ‘The Adventures of Mansour: Age of AI.’",https://www.awn.com/news/epic-story-media-reveals-upcoming-production-and-new-property-slate,Debbie Diamond Sarto,2023-06-16,all,"Epic Story Media showcased its growing catalog of new entertainment properties at Licensing Expo, offering attendees a peek at upcoming launches. The company, which produces and represents quality brands for children, announced new added brands and signed three new partners.Named North American licensing and merchandising agent:Studio 100, and Cheeky Little’s preschool property Vegesaurs, a new animated series that follows Ginger the Tricarrotops, who explores the world of the crunchiest era, going on adventures throughout the colorful Vegesaur Valley. The series premiered on ABC in Australia and CBeebies in the UK.Named licensing agent in North America:YouTube indie music artist, Gummibär - including an engagement with sister company Freeground for a Roblox game experience. Gummibär has over 25 billion views on YouTube, and the series Gummibär and Friends: The Gummy Bear Show, produced by Toonz Media Group, airs worldwide.Secured representation rights:Global content and L&M rights (excluding MENA and China) for Bidaya Media’s The Adventures of Mansour: Age of AI, which has 104 x 11-minute episodes in production. The original Mansour is a sci-fi cartoon phenomenon from the Middle East. This all-new series aims to bring globally relevant stories featuring authentic Middle Eastern characters.The media company also presented an update on production and new merchandise from titles, including Epic/Tencent/Unicorn’s co-produced Bubble’s Hotel; Wildbrain’s Slugterra; Epic’s Hailey and the Hero Hearts new toy lines, and the development of a new graphic novel for Pet Shop Zombies.Also announced, Epic is co-producing its newest preschool series, Talking Tom Heroes: Suddenly Super, which has recently gone into animation. Attendees got a first look at Hop from Emmy Award-winning creator Marc Brown, animated by Epic’s sister company Loomi Animation and greenlit by Max (Warner Bros. Discovery).“We are beyond excited to see our expansive lineup of projects from visionary creators hit the market,” said Epic Story Media founder Ken Faier. “Our 360 approach and partnership model have enabled us to succeed in this challenging landscape.”Source: Epic Story MediaDebbie Diamond Sarto is news editor at Animation World Network.","Epic is co-producing its newest preschool series, Talking Tom Heroes: Suddenly Super. Epic is co-producing its newest preschool series, Talking Tom Heroes: Suddenly Super."
grrrrrrawrrr!,Adult Swim Teases ‘Genndy Tartakovsky’s Primal’ Season 3,"Today at Annecy 2023, the network revealed the iconic director has returned to helm the next chapter of his hugely popular Emmy Award-winning adult animated series.",https://www.awn.com/news/adult-swim-teases-genndy-tartakovskys-primal-season-3,Debbie Diamond Sarto,2023-06-16,all,"Today at Annecy 2023, Adult Swim announced Genndy Tartakovsky’s Primal Season 3 is currently in production with Tartakovsky at the helm. The winner of five Emmy Awards, the action-packed animated series is produced by Cartoon Network Studios.The show combines artistry, emotion, and action - the first two seasons of the series followed a caveman at the dawn of evolution as he forms an unlikely friendship with an almost extinct dinosaur. After bonding over unfortunate tragedies, they ostensibly become each other’s only hope of survival until a final standoff becomes fatal.According to Adult Swim, the hugely popular show reached nearly 4 million viewers on Adult Swim last year, ranking as a top 10 animated series on cable in P18-49 and among the top 5 most watched Adult Swim original series on linear. On Max, Genndy Tartakovsky’s Primal is the 6th most popular Adult Swim series since the platform launched domestically. Outside of the US, the series is the 2nd most popular Adult Swim series since launch.“It’s happening!” declared Tartakovsky. “Primal has become a contagious disease that I don’t ever want to cure. Every episode flows out like an unstoppable force beyond my control. Prepare yourselves Primal fans, for Season 3 is coming!!!”“Most shows would have a hard time continuing after the main character is killed off, but this isn’t most shows,” added Adult Swim president Michael Ouweleen. “Leave it to Genndy and team to keep us all in suspense as Primal continues its adventure.”Sam Register, President Warner Bros. Animation and Cartoon Network Studios, commented, “When Genndy says he is not finished with Primal our only job is to do everything possible to support that vision and give him the opportunity to tell more incredible and imaginative stories. I can’t wait to see where he takes us next.”Adult Swim dropped a teaser video – check it out:Tartakovsky is celebrated for his expansive body of work on popular animated series, including Dexter's Laboratory, Samurai Jack, Star Wars: Clone Wars, and Sym-Bionic Titan. His newest series Unicorn: Warriors Eternal, is currently airing on Adult Swim, next day on Max.Genndy Tartakovsky's Primal is created by Tartakovsky with art direction from Scott Wills (Unicorn: Warriors Eternal, The Ren & Stimpy Show, Samurai Jack) and music composition from Tyler Bates (Unicorn: Warriors Eternal, Guardians of the Galaxy, Samurai Jack”) and Joanne Higginbottom (Unicorn: Warriors Eternal, Samurai Jack), and sound effects design from Joel Valentine (Unicorn: Warriors Eternal, Big City Greens, Samurai Jack).Source: Adult SwimDebbie Diamond Sarto is news editor at Animation World Network.",",,,,, Star Wars: Clone Wars, and Sym-Bionic Titan.,, is currently in production with Genndy Tartakovsky at the helm. Adult Swim has announced that Season 3 of Genndy Tartakovsky’s Primal Season 3 is currently in production. The show combines artistry, emotion, and action - the first two seasons followed a caveman at the dawn of evolution. Tartakovsky’s Prima"
the new dcu,Andy Muschietti to Direct New DCU Batman Film ‘The Brave and the Bold’,"‘The Flash’ director will helm the upcoming Dark Knight action flick, which will introduce canon Batman and Robin within James Gunn and Peter Safran’s interconnected universe.",https://www.awn.com/news/andy-muschietti-direct-new-dcu-batman-film-brave-and-bold,Laurén Alexa,2023-06-16,all,"The upcoming Batman film The Brave and the Bold, which will officially introduce James Gunn and Peter Safran’s canon DCU Bruce Wayne, will be directed by Andy Muschietti (The Flash, It), according to Variety.The film is based on the Grant Morrison comics run, and tells the “story of Damian Wayne, who’s Batman’s actual son that he didn’t know existed for the first eight to ten years of his life,” explained Gunn in a previous statement. “He was raised as a little murderer and assassin,” and will become Robin.“We saw The Flash; even before taking the reins at DC Studios, and knew we were in the hands of not only a visionary director but a massive DC fan,” Gunn and Safran told Variety of Muschietti. “It’s a magnificent film – funny, emotional, thrilling – and Andy’s affinity and passion for these characters and this world just resonates through every frame. So, when it came time to find a director for The Brave and the Bold, there was really only one choice. Luckily, Andy said yes. Barbara signed on to produce with us and we were on our way. They’re an extraordinary team, and we couldn’t have better or more inspiring partners as we embark on this thrilling new adventure in the DCU.”The film is still in early development; while Muschietti is firmly in place, a writer has still not been selected to pen the script.The Brave and the Bold is one of many projects set in the same universe, creating a new saga (much like the MCU ‘Phases’) which will begin with “Chapter 1,” comprised of five films and five HBO Max television series in the theme of “Gods and Monsters.”The first film in the new slate is Gunn’s Superman: Legacy, set to release in theaters on July 11, 2025. Muschietti’s sister and creative partner Barbara Muschietti will produce the project under their Double Dream banner alongside Gunn and Safran.Cybersecurity specialist by day, investigative journalist by night. ",", and we couldn’t have better or more inspiring partners as we embark on this thrilling new adventure in the DC Universe. The Brave and the Bold will officially introduce James Gunn and Peter Safran’s canon DCU Bruce Wayne. the film will be directed by Andy Muschietti (The Flash, It), according to Variety."
more ip gold,Sarah Polley to Direct Disney’s ‘Bambi’ Live-Action Remake,The Oscar winning ‘Women Talking’ writer/director and star joins writers Micah Fitzerman-Blue and Noah Harpster (‘Transparent’) and producers Chris and Paul Weitz on the studio’s latest photorealistic CGI remake of an animated classic; story follows a young fawn on his adventures in the forest after tragedy strikes.,https://www.awn.com/news/sarah-polley-direct-disneys-bambi-live-action-remake,Laurén Alexa,2023-06-16,all,"Disney’s animated classic, ‘Bambi,’ (1942). Image © 2017 Disney.Oscar-winning writer/director and actor Sarah Polley (Women Talking) is set to helm Disney’s Bambi live-action photorealistic CGI remake, based on the timeless tale of a young fawn whose mother is brutally killed in the first five minutes. Much like previous remake The Lion King, no humans will appear in the upcoming film (barring the aforementioned gun-toting hunter).While not officially confirmed, Deadline reports the film will be a musical featuring music from Kacey Musgraves. The film is still in very early development, so this is subject to change.While Geneva Robertson-Dworet (Captain Marvel, Tomb Raider) and Lindsey Beer (Sierra Burgess Is a Loser, Chaos Walking) were originally announced as the screenwriters, Micah Fitzerman-Blue and Noah Harpster (Transparent) have penned the most recent draft of the script. Chris and Paul Weitz produce under the Depth of Field banner.Cybersecurity specialist by day, investigative journalist by night. ",", Sarah Polley (Women Talking) is set to helm Disney’s live-action photorealistic CGI remake. The film is still in very early development, so this is subject to change."
space station thrills!,Watch: ‘Babylon 5: The Road Home’ Trailer,"Warner Bros. Discovery Home Entertainment celebrates the 30th anniversary of the popular series with an animated feature that continues the sci-fi saga; coming to Digital, 4K Ultra HD, and Blu-Ray in August.",https://www.awn.com/news/watch-babylon-5-road-home-trailer,Debbie Diamond Sarto,2023-06-16,all,"Celebrating its 30th anniversary, the popular sci-fi series Babylon 5 gets new life as its story continues in Warner Bros. Animation’s all-new original animated movie Babylon 5: The Road Home - coming to Digital, 4K Ultra HD, and Blu-Ray from Warner Bros. Discovery Home Entertainment on August 15.Series creator J. Michael Straczynski returns with a story about the iconic Babylon 5 space station and its inhabitants as they journey through the past to determine the future. Returning to voice their characters from the original series are Bruce Boxleitner as John Sheridan; Claudia Christian as Susan Ivanova; Peter Jurasik as Londo Mollari; Bill Mumy as Lennier; Tracy Scoggins as Elizabeth Lochley; and Patricia Tallman as Lyta Alexander.The film also stars Paul Guyet (World of Warcraft) as Zathras and Jeffery Sinclair; Anthony Hansen (God of War) as Michael Garibaldi; Mara Junot (Green Lantern: Beware My Power) as Reporter and Computer Voice; Phil LaMarr (Futurama) as Dr. Stephen Franklin; Piotr Michael (Hogwarts Legacy) as David Sheridan; Andrew Morgado (Doctor Strange in the Multiverse of Madness) as G’Kar; and Rebecca Riedy (Magic: The Gathering Arena) as Delenn.Straczynski writes and executive produces; Matt Peters (Batman and Superman: Battle of the Super Sons) directs; Rick Morales (Mortal Kombat Legends: Snow Blind) is supervising producer; and Sam Register is executive producer.Babylon 5: The Road Home will be available on August 15 to purchase Digitally from Amazon Prime Video, AppleTV, Google Play, and Vudu. 4K Ultra HD and Blu-Ray Discs will be available online and in-store at major retailers.In the movie, Babylon 5’s epic interstellar saga continues - John Sheridan unexpectedly finds himself transported through multiple timelines and alternate realities and must find his way back home. Along the way, he reunites with familiar faces while discovering new cosmic revelations about the Universe's history, purpose, and meaning.Special Features Include:Babylon 5 Forever (New Featurette) – The cast and filmmakers reveal the process behind creating the animated adaptation of Babylon 5.Audio Commentary featuring creator/writer/executive producer Straczynski, actor Boxleitner, and supervising producer Morales.Check out the trailer:Source: Warner Bros. Discovery Home EntertainmentDebbie Diamond Sarto is news editor at Animation World Network.","producer; and Sam Register is executive producer.Babylon 5: The Road Home is coming to Digital, 4K Ultra HD, and Blu-Ray from Discovery Home Entertainment. The original animated movie Babylon 5: The Road Home will be available on August 15 to purchase Digitally from Amazon Prime Video, AppleTV, Google Play, and Vudu."
